Designator,Mid X,Mid Y,Layer,Rotation
C215,65.655605mm,62.905105000000006mm,Bottom,270.0
C200,79.549905mm,60.15000500000001mm,Bottom,90.0
C201,78.45000499999999mm,60.15000500000001mm,Bottom,90.0
C202,76.299905mm,60.15000500000001mm,Bottom,90.0
C203,75.25950499999999mm,62.905105000000006mm,Bottom,270.0
C195,67.699905mm,54.700005000000004mm,Bottom,90.0
C190,53.600004999999996mm,54.850005mm,Bottom,90.0
C185,74.800005mm,54.700005000000004mm,Bottom,90.0
C180,60.600004999999996mm,54.700005000000004mm,Bottom,90.0
C142,55.350004999999996mm,63.90000500000001mm,Bottom,90.0
C141,56.550005mm,63.90000500000001mm,Bottom,90.0
C139,57.749905mm,63.90000500000001mm,Bottom,270.0
C135,58.950005mm,63.90000500000001mm,Bottom,90.0
C211,70.44190499999999mm,62.905105000000006mm,Bottom,270.0
C210,71.499905mm,60.15000500000001mm,Bottom,90.0
C209,73.650005mm,60.15000500000001mm,Bottom,90.0
C208,74.749905mm,60.15000500000001mm,Bottom,90.0
C147,64.00000499999999mm,46.491305000000004mm,Bottom,0.0
F101,79.050005mm,33.302805000000006mm,Bottom,270.0
R134,69.800005mm,33.800005000000006mm,Bottom,180.0
R133,69.800005mm,32.625005mm,Bottom,180.0
C133,69.650005mm,35.910005000000005mm,Bottom,270.0
R131,62.854005mm,50.556205000000006mm,Bottom,0.0
R130,69.549905mm,45.375005mm,Bottom,270.0
R129,69.549905mm,49.250005mm,Bottom,270.0
Y101,67.262605mm,37.48260500000001mm,Bottom,180.0
C116,66.321405mm,38.971405000000004mm,Bottom,0.0
C115,68.185605mm,38.957705000000004mm,Bottom,180.0
C124,64.00000499999999mm,47.631105000000005mm,Bottom,180.0
R121,54.32460499999999mm,31.123005000000006mm,Bottom,0.0
R106,60.500004999999994mm,32.975005mm,Bottom,180.0
J101,55.15000499999999mm,32.250005mm,Top,0.0
C108,68.050005mm,35.90000500000001mm,Bottom,180.0
R105,50.100905mm,48.518905000000004mm,Top,180.0
R104,50.300905mm,49.708905mm,Top,180.0
R103,50.100905mm,50.818905mm,Top,180.0
R125,49.550005mm,62.380005000000004mm,Top,90.0
C104,75.70000499999999mm,31.300005000000006mm,Bottom,270.0
C137,68.354805mm,51.591505000000005mm,Top,180.0
D101,78.92050499999999mm,37.055505000000004mm,Bottom,0.0
C101,51.958405mm,31.123005000000006mm,Bottom,0.0
R102,80.12250499999999mm,38.625505000000004mm,Bottom,0.0
R101,69.549905mm,41.500005mm,Bottom,90.0
D102,50.250004999999994mm,32.500005mm,Top,270.0
Y102,64.60620499999999mm,42.51350500000001mm,Bottom,270.0
R122,50.250004999999994mm,52.700005000000004mm,Bottom,180.0
R123,52.540205mm,54.72410500000001mm,Bottom,90.0
R127,64.450005mm,36.800005000000006mm,Bottom,0.0
R128,60.772205mm,50.556205000000006mm,Bottom,0.0
D106,72.09690499999999mm,37.93510500000001mm,Top,0.0
D105,72.09690499999999mm,39.735105000000004mm,Top,0.0
D107,65.945005mm,34.210505000000005mm,Bottom,0.0
D104,72.09690499999999mm,41.535105mm,Top,0.0
D103,72.09690499999999mm,43.335105000000006mm,Top,0.0
C140,64.450005mm,37.90000500000001mm,Bottom,180.0
C132,66.882505mm,41.524905000000004mm,Bottom,270.0
C136,66.882505mm,43.600105mm,Bottom,90.0
C127,56.250004999999994mm,50.556205000000006mm,Bottom,180.0
C138,80.716105mm,34.527805mm,Bottom,270.0
C130,66.232505mm,48.646505000000005mm,Bottom,180.0
C131,56.250004999999994mm,51.700005000000004mm,Bottom,180.0
C122,66.232505mm,46.491305000000004mm,Bottom,0.0
C114,50.381705mm,36.700005000000004mm,Top,180.0
C103,76.750005mm,31.300005000000006mm,Bottom,270.0
C113,50.381705mm,35.500005mm,Top,0.0
C102,76.550005mm,38.625505000000004mm,Bottom,0.0
U105,60.840605mm,42.65000500000001mm,Top,90.0
R430,22.475006999999998mm,54.074996999999996mm,Top,180.0
C431,30.125006999999997mm,50.624997mm,Top,0.0
C430,26.425007mm,50.624997mm,Top,180.0
U430,27.745006999999998mm,53.874997mm,Top,90.0
D430,22.475006999999998mm,51.654997mm,Top,90.0
